NAME,lat,lng,index,group
北京,40.045975,116.39825,1,jing-jin-ji
天津,39.090521,117.311286,2,jing-jin-ji
石家庄,38.02655,114.505,3,jing-jin-ji
唐山,39.64495,118.182833,4,jing-jin-ji
秦皇岛,39.93616,119.6068,5,jing-jin-ji
邯郸,36.60785,114.514,6,jing-jin-ji
保定,38.876267,115.485,7,jing-jin-ji
张家口,40.81686,114.8956,8,jing-jin-ji
承德,40.96416,117.9274,9,jing-jin-ji
廊坊,39.545975,116.7295,10,jing-jin-ji
沧州,38.315767,116.871333,11,jing-jin-ji
衡水,37.7448,115.676333,12,jing-jin-ji
邢台,37.0771,114.5065,13,jing-jin-ji
太原,37.8572,112.522222,14,jing-jin-ji
呼和浩特,40.801462,111.665375,15,null
沈阳,41.808382,123.449,16,null
大连,38.94953,121.6278,17,null
长春,43.82821,125.355,18,null
哈尔滨,45.738142,126.648,19,null
上海,31.209056,121.456556,20,chang-san-jiao
南京,32.062567,118.775,21,chang-san-jiao
苏州,31.301512,120.60525,22,chang-san-jiao
南通,31.99044,120.8786,23,chang-san-jiao
连云港,34.6568,119.25825,24,chang-san-jiao
徐州,34.255843,117.215714,25,chang-san-jiao
扬州,32.3943,119.423,26,chang-san-jiao
无锡,31.568913,120.290125,27,chang-san-jiao
常州,31.787433,119.961667,28,chang-san-jiao
镇江,32.1772,119.525,29,chang-san-jiao
泰州,32.428675,119.898,30,chang-san-jiao
淮安,33.58214,119.0358,31,chang-san-jiao
盐城,33.39075,120.157,32,chang-san-jiao
宿迁,33.95565,118.281,33,chang-san-jiao
杭州,30.211173,120.081909,34,chang-san-jiao
宁波,29.867937,121.620125,35,chang-san-jiao
温州,27.99855,120.6855,36,chang-san-jiao
绍兴,30.03,120.593,37,chang-san-jiao
湖州,30.8576,120.087667,38,chang-san-jiao
嘉兴,30.6658,120.714,39,chang-san-jiao
台州,28.6258,121.356333,40,chang-san-jiao
舟山,29.990167,122.207,41,chang-san-jiao
金华,29.097667,119.660667,42,chang-san-jiao
衢州,28.960433,118.865667,43,chang-san-jiao
丽水,28.444367,119.907667,44,chang-san-jiao
合肥,31.84824,117.2478,45,chang-san-jiao
福州,26.0639,119.331333,46,null
南昌,28.692856,115.877444,48,null
济南,36.64675,116.976875,49,jing-jin-ji
青岛,36.150211,120.393,50,null
郑州,34.776689,113.652,51,jing-jin-ji
武汉,30.5396,114.2538,52,null
长沙,28.20522,112.9835,53,null
深圳,22.599273,114.163909,55,zhu-san-jiao
珠海,22.285925,113.499,56,zhu-san-jiao
佛山,22.9843,113.0655,57,zhu-san-jiao
中山,22.5168,113.4035,58,zhu-san-jiao
江门,22.578475,113.071,59,zhu-san-jiao
东莞,23.024,113.7616,60,zhu-san-jiao
惠州,22.96128,114.4178,61,zhu-san-jiao
肇庆,23.090925,112.48375,62,zhu-san-jiao
南宁,22.8033,108.321375,63,null
海口,20.00918,110.37,64,null
重庆,29.594882,106.509353,65,cheng-yu
成都,30.7064,104.014375,66,cheng-yu
昆明,25.0129,102.708286,68,null
拉萨,29.652617,91.097,69,null
西安,34.304985,108.989923,70,fen-wei
兰州,36.04752,103.8326,71,null
西宁,36.6509,101.71375,72,null
银川,38.50275,106.146167,73,null
乌鲁木齐,43.868886,87.559614,74,null
贵阳,26.3003,106.805,77,null
株洲,27.8336,113.251,78,null
湘潭,27.91585,112.7465,79,null
